Nome da campanha,Nome do conjunto de anúncios,Dia,Idade,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-29,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,818,892,3.43,1.71,1.090464548,2,2,0.244498778,0.224215247,,,140,86,,0.03985672,2021-12-29,2021-12-29
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-29,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,40,43,0.16,0.16,1.075,1,1,2.5,2.325581395,,,1,1,,0.16322275,2021-12-29,2021-12-29
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-29,45-54,active,adset,Traffic||Branding geral||Dezembro,,,14,17,0.12,,1.214285714,,0,0,,,,,,,,2021-12-29,2021-12-29
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-29,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,385,526,1.82,0.91,1.366233766,2,2,0.519480519,0.380228137,,,38,18,,0.10110842,2021-12-29,2021-12-29
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-29,35-44,active,adset,Traffic||Branding geral||Dezembro,,,206,275,1.51,,1.334951456,,1,0,,,,16,6,,0.25218321,2021-12-29,2021-12-29
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-29,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,262,333,0.92,0.92,1.270992366,1,1,0.381679389,0.3003003,,,28,13,,0.07081207,2021-12-29,2021-12-29
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-29,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,1112,1196,4.89,2.44,1.075539568,2,2,0.179856115,0.16722408,,,121,93,,0.05253549,2021-12-29,2021-12-29
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-29,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,572,620,3.00,3.00,1.083916084,1,1,0.174825175,0.161290323,,,66,45,,0.06673997,2021-12-29,2021-12-29
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,296,455,2.42,0.81,1.537162162,3,3,1.013513514,0.659340659,,,92,36,,0.06722222,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,20,2108,3796,10.56,0.53,1.800759013,19,24,0.901328273,0.52687039,,,561,236,,0.04474576,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,86,154,0.58,0.29,1.790697674,2,2,2.325581395,1.298701299,,,20,8,,0.0725,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,45,3504,6208,20.59,0.46,1.771689498,42,54,1.198630137,0.724871134,,,849,356,,0.05783708,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,34,10192,13703,37.04,1.09,1.344485871,34,46,0.333594976,0.248120849,,,3495,1476,,0.02509485,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,19,1844,3225,12.94,0.68,1.748915401,18,20,0.976138829,0.589147287,,,537,202,,0.06405941,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,45,15576,19998,57.20,1.27,1.283898305,42,66,0.269645609,0.225022502,,,5332,2288,,0.025,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,29,7168,9351,34.83,1.20,1.304547991,29,36,0.404575893,0.310127259,,,2515,1004,,0.03469124,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,71,18168,23333,58.15,0.82,1.284291061,67,99,0.368780273,0.304290061,,,7374,2824,,0.02059136,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,45,3768,6892,20.95,0.47,1.829087049,45,51,1.194267516,0.652930934,,,1053,449,,0.04665924,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,55,11312,15075,32.18,0.59,1.332655587,51,83,0.450848656,0.364842454,,,5184,1916,,0.01679541,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,4,416,601,2.44,0.61,1.444711538,4,6,0.961538462,0.665557404,,,147,64,,0.038125,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Unknown,active,adset,Traffic||Branding geral||Dezembro,,,0,0,0.00,,0,,0,0,,,,,,,,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,45-54,active,adset,Traffic||Branding geral||Dezembro,,,108,203,0.68,,1.87962963,,0,0,,,,20,8,,0.085,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,29,2282,4014,10.62,0.37,1.758983348,28,31,1.226993865,0.72247135,,,762,312,,0.03403846,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,27,2016,3627,12.73,0.47,1.799107143,26,31,1.28968254,0.744416873,,,506,208,,0.06120192,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,49,8968,11550,37.98,0.78,1.287912578,45,57,0.501784121,0.424242424,,,2850,1056,,0.03596591,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,82,20096,26510,64.55,0.79,1.319167994,76,113,0.378184713,0.309317239,,,14848,4648,,0.01388769,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,54,12960,16847,35.38,0.66,1.29992284,50,76,0.385802469,0.320531845,,,9683,3096,,0.01142765,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,64,9472,12574,39.78,0.62,1.327491554,61,84,0.644003378,0.508986798,,,5814,1808,,0.02200221,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,440,604,2.32,1.16,1.372727273,2,2,0.454545455,0.331125828,,,209,40,,0.058,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,37,4152,7369,22.01,0.59,1.774807322,36,43,0.867052023,0.502103406,,,2441,750,,0.02934667,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,27,2244,3784,13.15,0.49,1.68627451,26,30,1.158645276,0.713530655,,,1073,345,,0.03811594,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,27,2546,4281,12.20,0.45,1.681461115,26,31,1.021209741,0.630693763,,,1318,445,,0.02741573,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,5,106,205,0.69,0.14,1.933962264,5,5,4.716981132,2.43902439,,,25,12,,0.0575,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-25,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,35,13834,18886,41.38,1.18,1.36518722,35,49,0.252999855,0.185322461,,,9362,2652,,0.01560441,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-25,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,392,560,1.73,0.58,1.428571429,3,3,0.765306122,0.535714286,,,177,80,,0.02162651,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-25,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,34,8305,11184,35.38,1.04,1.346658639,33,47,0.397350993,0.304005722,,,4310,1408,,0.02512959,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-25,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,85,19860,26012,65.07,0.77,1.309768379,79,119,0.397784491,0.326772259,,,12182,3572,,0.01821795,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-25,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,26,1872,3146,12.36,0.48,1.680555556,24,27,1.282051282,0.826446281,,,612,211,,0.0585782,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-25,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,22,2168,3580,11.92,0.54,1.651291513,21,25,0.968634686,0.61452514,,,1172,338,,0.03526627,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-25,45-54,active,adset,Traffic||Branding geral||Dezembro,,,88,144,0.48,,1.636363636,,0,0,,,,24,13,,0.03692308,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-25,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,45,3566,6379,23.59,0.52,1.788839035,44,49,1.233875491,0.705439724,,,1644,508,,0.04643701,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-24,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,41,5624,7422,35.32,0.86,1.31970128,37,49,0.657894737,0.552411749,,,2337,836,,0.0422488,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-24,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,30,3064,5356,22.81,0.76,1.748041775,30,32,0.979112272,0.560119492,,,995,371,,0.06148248,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-24,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,18,1462,2653,12.12,0.67,1.814637483,17,19,1.162790698,0.678477196,,,420,168,,0.07214286,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-24,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,17,1652,2911,11.33,0.67,1.762106538,17,20,1.02905569,0.583991755,,,578,219,,0.05173516,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-24,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,72,137,0.86,0.29,1.902777778,2,3,2.777777778,2.189781022,,,13,9,,0.09555556,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-24,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,256,366,2.17,1.09,1.4296875,2,2,0.78125,0.546448087,,,121,48,,0.04520833,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-24,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,44,9608,13230,42.00,0.95,1.376977519,40,69,0.416319734,0.332577475,,,3400,1212,,0.03465347,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-24,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,77,12896,17287,62.77,0.82,1.340493176,66,96,0.5117866,0.445421415,,,5300,1820,,0.03448901,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-23,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,18,5888,8371,32.00,1.78,1.421705163,17,29,0.288722826,0.215028073,,,1987,668,,0.04790419,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-23,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,51,9864,13782,62.33,1.22,1.397201946,49,59,0.49675588,0.370047889,,,3323,1344,,0.04637649,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-23,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,252,364,2.25,1.13,1.444444444,2,3,0.793650794,0.549450549,,,65,36,,0.0625,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-23,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,53,5420,7336,43.40,0.82,1.353505535,49,62,0.904059041,0.722464558,,,1746,712,,0.06095506,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-23,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,32,2678,5125,22.14,0.69,1.913741598,31,34,1.157580284,0.624390244,,,788,273,,0.0810989,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-23,45-54,active,adset,Traffic||Branding geral||Dezembro,,,62,142,0.72,,2.290322581,,0,0,,,,18,7,,0.10285714,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-23,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,15,1518,2831,10.12,0.67,1.864953887,14,19,0.92226614,0.52984811,,,365,141,,0.07177305,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-23,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,16,1410,2669,12.83,0.80,1.892907801,16,16,1.134751773,0.599475459,,,384,155,,0.08277419,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-22,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,20,1678,2929,9.90,0.50,1.745530393,19,20,1.132300358,0.682826903,,,382,180,,0.055,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-22,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,72,10393,14184,59.89,0.83,1.364764746,67,84,0.644664678,0.507614213,,,3833,1636,,0.03661025,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-22,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,38,5464,7129,37.59,0.99,1.304721816,37,46,0.67715959,0.533034086,,,1632,752,,0.04999035,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-22,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,33,7176,10157,37.71,1.14,1.415412486,33,48,0.459866221,0.324899084,,,2378,1108,,0.03403678,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-22,45-54,active,adset,Traffic||Branding geral||Dezembro,,,312,351,1.91,,1.125,,1,0,,,,49,28,,0.06821926,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-22,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,17,1670,2879,12.72,0.75,1.723952096,17,20,1.017964072,0.590482807,,,352,170,,0.07482353,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-22,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,32,3056,5417,22.18,0.69,1.772578534,32,34,1.047120419,0.590732878,,,800,340,,0.06523529,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-22,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,88,163,0.83,0.83,1.852272727,1,1,1.136363636,0.613496933,,,38,8,,0.10375,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-21,45-54,active,adset,Traffic||Branding geral||Dezembro,,,98,179,1.07,,1.826530612,,0,0,,,,44,10,,0.107,2021-12-21,2021-12-21
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-21,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,18,1974,3381,11.29,0.63,1.712765957,18,18,0.911854103,0.532386868,,,587,250,,0.04516,2021-12-21,2021-12-21
